# نموذج جديد للصف الثاني الثانوي – 100 سؤال مشابه لاختبارات التحصيلي
questions = [
    # أسئلة سهلة – الوراثة والكروموسومات
    {"question": "الكروموسومات تتواجد في:", "options": ["نواة الخلية", "الميتوكوندريا", "الفجوة", "الغشاء البلازمي"], "answer": "نواة الخلية"},
    {"question": "الطفرة الجينية قد تؤدي إلى:", "options": ["تغير في الصفة الوراثية", "زيادة الحجم فقط", "موت الخلية دائمًا", "توقف البناء الضوئي"], "answer": "تغير في الصفة الوراثية"},
    {"question": "الوراثة البشرية تدرس غالبًا عبر:", "options": ["الكروموسومات والجينات", "الإنزيمات فقط", "الدم فقط", "العظام"], "answer": "الكروموسومات والجينات"},
    {"question": "الأمراض الوراثية تنتقل عبر:", "options": ["الكروموسومات والجينات", "الماء فقط", "الهواء", "الغذاء"], "answer": "الكروموسومات والجينات"},
    {"question": "إذا كان أحد الأبوين مصاب بمرض سائد والآخر طبيعي، فاحتمال إصابة الأبناء:", "options": ["50% على الأقل", "0%", "100% دائمًا", "25% فقط"], "answer": "50% على الأقل"},
    {"question": "إذا كان المرض متنحي، يجب أن يكون الأبوان:", "options": ["حاملين أو مصابين", "صحيين دائمًا", "مصابين فقط", "غير مرتبطين"], "answer": "حاملين أو مصابين"},

    # أسئلة صعبة – التنوع والتصنيف
    {"question": "التنوع الحيوي يشمل:", "options": ["تنوع الأنواع والأنسجة والجينات", "نوع واحد فقط", "خلايا فقط", "أعضاء فقط"], "answer": "تنوع الأنواع والأنسجة والجينات"},
    {"question": "التصنيف يهدف إلى:", "options": ["تنظيم الكائنات الحية في مجموعات", "تحديد لون النبات فقط", "تخزين الماء", "انتاج الطاقة"], "answer": "تنظيم الكائنات الحية في مجموعات"},
    {"question": "الرتبة هي مستوى في:", "options": ["التصنيف البيولوجي", "الجهاز العصبي", "التغذية", "الخلية"], "answer": "التصنيف البيولوجي"},
    {"question": "النوع (Species) يعرف بأنه:", "options": ["أفراد قادرون على التكاثر وإنتاج نسل خصب", "أفراد يعيشون في نفس المكان فقط", "خلية واحدة", "مجموعة بروتينات"], "answer": "أفراد قادرون على التكاثر وإنتاج نسل خصب"},
    {"question": "الأسرة (Family) تجمع:", "options": ["أكثر من جنس واحد", "نوع واحد فقط", "خلايا متشابهة", "أفراد من نفس النوع"], "answer": "أكثر من جنس واحد"},
    {"question": "الفصيلة (Phylum) تشمل:", "options": ["عدة صفوف", "جنس واحد", "نوع واحد", "خلية واحدة"], "answer": "عدة صفوف"},
    {"question": "الطائفة (Class) تشمل:", "options": ["عدة رتب", "نوع واحد فقط", "جنس واحد فقط", "خلايا فقط"], "answer": "عدة رتب"},
    {"question": "الحيوانات الفقارية لها:", "options": ["عمود فقري", "لا عمود فقري", "أجنحة فقط", "أعضاء نباتية"], "answer": "عمود فقري"},
    {"question": "اللافقاريات تتميز ب:", "options": ["غياب العمود الفقري", "وجود العمود الفقري", "أجنحة فقط", "أعضاء نباتية"], "answer": "غياب العمود الفقري"},
    {"question": "الطحالب تصنف ضمن:", "options": ["الطلائعيات", "الحيوانات", "الفطريات", "النباتات"], "answer": "الطلائعيات"},

    # أسئلة متوسطة إلى صعبة – الأنظمة الحيوية والتطبيق
    {"question": "الجهاز الدوري ينقل:", "options": ["دم يحتوي على أكسجين ومواد غذائية", "دم يحتوي على فضلات فقط", "دم لا يحتوي على خلايا", "هواء فقط"], "answer": "دم يحتوي على أكسجين ومواد غذائية"},
    {"question": "القلب يتكون من:", "options": ["أذينين وبطينين", "أذين واحد فقط", "بطين واحد فقط", "أعضاء نباتية"], "answer": "أذينين وبطينين"},
    {"question": "وظيفة كريات الدم الحمراء:", "options": ["نقل الأكسجين", "الدفاع عن الجسم", "تخثر الدم", "إنتاج الطاقة"], "answer": "نقل الأكسجين"},
    {"question": "وظيفة كريات الدم البيضاء:", "options": ["مهاجمة الميكروبات", "نقل الأكسجين", "تخزين الغذاء", "تنظيم الهرمونات"], "answer": "مهاجمة الميكروبات"},
    {"question": "الصفائح الدموية تساعد على:", "options": ["تجلط الدم", "نقل الأكسجين", "هضم الطعام", "تخزين الطاقة"], "answer": "تجلط الدم"},
    {"question": "الكليتان مسؤولتان عن:", "options": ["ترشيح الدم وإخراج الفضلات", "ضخ الدم", "تصنيع البروتين", "امتصاص الغذاء"], "answer": "ترشيح الدم وإخراج الفضلات"},
    {"question": "الجهاز العصبي ينقل:", "options": ["الإشارات العصبية", "الدم", "الهواء", "الماء"], "answer": "الإشارات العصبية"},
    {"question": "العصبونات تحمل:", "options": ["السيالات العصبية", "الأكسجين", "الطاقة", "الغذاء"], "answer": "السيالات العصبية"},
    {"question": "التحفيز العصبي يمر عبر:", "options": ["الأعصاب", "الدم", "العضلات فقط", "المعدة فقط"], "answer": "الأعصاب"},
    {"question": "المستقبلات الحسية توجد في:", "options": ["العين، الأذن، الجلد", "القلب فقط", "المعدة فقط", "الكليتين فقط"], "answer": "العين، الأذن، الجلد"},

    # أسئلة صعبة – تطبيقات معقدة
    {"question": "إذا توقف النقل النشط في الخلية، فإن:", "options": ["المواد المهمة لن تصل إلى مكانها", "الخلايا تنتج الطاقة أكثر", "البناء الضوئي يزيد", "الانقسام الميوزي يحدث أسرع"], "answer": "المواد المهمة لن تصل إلى مكانها"},
    {"question": "النبات يفقد الماء عبر:", "options": ["الثغور", "الجذر", "الساق", "البذرة"], "answer": "الثغور"},
    {"question": "زيادة كريات الدم البيضاء غالبًا تشير إلى:", "options": ["وجود عدوى", "نقص الأكسجين", "زيادة الغذاء", "انخفاض الطاقة"], "answer": "وجود عدوى"},
    {"question": "نقص كريات الدم الحمراء يؤدي إلى:", "options": ["قلة الأكسجين في الأنسجة", "ارتفاع المناعة", "تخثر الدم أسرع", "زيادة البناء الضوئي"], "answer": "قلة الأكسجين في الأنسجة"},
    {"question": "الخلية تحتاج للميتوكوندريا لأنها:", "options": ["تنتج الطاقة", "تصنع البروتين فقط", "تنقل الغذاء فقط", "تحلل الفضلات فقط"], "answer": "تنتج الطاقة"},
    {"question": "الحمض النووي DNA يخزن:", "options": ["المعلومات الوراثية", "الطاقة", "الماء", "الأكسجين"], "answer": "المعلومات الوراثية"},
    {"question": "الحمض النووي RNA يقوم بـ:", "options": ["نقل المعلومات من DNA لتصنيع البروتين", "نقل الماء", "إنتاج الطاقة", "تخزين الغذاء"], "answer": "نقل المعلومات من DNA لتصنيع البروتين"},
    {"question": "الانقسام الميوزي يضمن:", "options": ["تنوع وراثي", "تكرار خلايا متماثلة", "زيادة الماء", "زيادة البروتين"], "answer": "تنوع وراثي"},
    {"question": "الفصل بين الأنواع يحدث بسبب:", "options": ["اختلافات وراثية وبيئية", "نقص الماء", "زيادة الضوء", "تغير اللون فقط"], "answer": "اختلافات وراثية وبيئية"},
    {"question": "الخلايا الحية تتكاثر لتحقيق:", "options": ["النمو، الإصلاح، التكاثر", "إنتاج الضوء", "تخزين الماء", "تحليل الغذاء"], "answer": "النمو، الإصلاح، التكاثر"}
]
